BOTTLE,20240810CCHHYDRO
# xx stations with 36 place Rosette 
# SOCCOM Biogeochemical floats deployed by Ellen Briggs 
# No.   Sta   WMO_ID     Lat       Lon       Date            FLID   Name                             Adoption School 
# 1      10  5905634   -71.008  -170.002   20180321   12768   The Floating Falcon       Fall River Elementary, Big Sandy, WV
# 2      18  5905638   -67.617   173.521   20180325   12398   MVE Super Seal            Monte Vista Elementary, Monterey, CA
# 3      28  5905635   -66.998  -173.670   20180329   12701   Thunderbird-Martlet       UBC/McGill/Reed/U.Toronto; Office Polar Prog. 
# 4      50  5905637   -69.012  -150.038   20180407   12758   Tidal Wave                New Hanover Township School, Wrightstown, NJ, Class of 2020 
# 5      68  5905636   -66.997  -149.248   20180417   12754   Griffin-Eagle             UBC/McGill/Reed/U.Toronto; Office Polar Prog. 
# 6      82  5905639   -67.003  -129.517   20180422   12787   Southern Ocean Spy        New Hanover Township School, Wrightstown, NJ, Class of 2021 
# Supported by NSF Award PLR-1425989 to J.L. Sarmiento et al.  
# CTD: Who - J.Swift; Status - final 
#       Includes: CTDSAL, CTDOXY 
#       Transmissometer Wilf Gardner, FLBB E.Boss 
# Salinty: Who - J.Swift; Status - final 
#       Notes:   
# Nutrients: Who - J.Swift; Status - final 
#       Includes: nitrate, nitrite, silicate, phoshphate 
# O2: Who - J.Swift; Status - final 
#       Notes: 
# TCO2: Who - R.Wanninkhof;R.Feely; Status - final 
#       Notes:  added with QC 12/11/18 
# ALKALI: Who - A.Dickson; Status - final 
#       Notes:  QC 12/11/18 
# pH: Who - A.Dickson; Status - final 
#       Notes:  Total scale @ 25C 
#       QC 12/11/18 
#       Station 38 values updated 1/29/21 
# pCO2: Who - R.Wanninkhof;T.Takahashi; Status - collected 
#       Notes: Underway only 
# CFC: Who - M.Warner,W.Smethie; Status - final 
#       Notes: includes CFC-11,CFC-12,SF6
#       Final data from Mark 3/4/21; merged 3/12/21 with QC 
# N2O: Who - M.Warner; Status - preliminary 
#       Notes: near final data from Mark 3/4/21; merged 3/12/21 with QC 
# C14/C13: Who - R.Key,A.McNichol; Status - collected 
#       Notes:  
# He/Ne/Kr: Who - F.Straneo, N.Beaird; Status - collected 
#       Notes:  
# d18O: Who - L. Talley, C. Charles, N. Beaird, F. Straneo; Status - collected 
#       Notes: 
# HPLC:  Who - E. Boss; Status - collected 
#       Notes: supported by NASA grant NNX14AP49G 
# DOC/TDN: Who - C.Carlson; Status - collected 
#       Notes:  final data rcd 1/4/21 
#       Merged with QC check 1/25/21 
# POC: Who - E. Boss; Status - collected 
#       Notes: supported by NASA grant NNX14AP49G  
# Other: Who - ; Status - 
#       Notes:  
#| For data citation, please use the data providers listed below. 
#|
#| Programs and Principal Investigators
#| -----------------------------------------------------------------------------------------------
#| Chief Scientist         | WHOI               | Alison Macdonald    | amacdonald@whoi.edu      
#| Co-Chief Scientist      | UCSD               | Ellen Briggs        | ebriggs@ucsd.edu         
#|
#| Program                 | Affiliation        | Principal           | Email                    
#|                         |                    | Investigator        |
#| ========================|====================|=====================|===========================
#| CTDO Data, Salinity,    | UCSD, SIO          | Susan Becker,       | sbecker@ucsd.edu,
#| Nutrients, Dissolved O2 |                    | Jim Swift           | jswift@ucsd.edu
#| ------------------------+--------------------+---------------------+---------------------------
#| Total CO_2 (DIC)        | PMEL, AOML, NOAA   | Richard Feely,      | Richard.A.Feely@noaa.gov
#|                         |                    | Rik Wanninkhof      | Rik.Wanninkhof@noaa.gov  
#| ------------------------+--------------------+---------------------+---------------------------
#| Underway Temperature,   | AOML, NOAA, ASC    | Rik Wanninkhof,     | Rik.Wanninkhof@noaa.gov
#| Salinity, and pCO_2     |                    | ASC                 | admin@nbp.usap.gov
#| ------------------------+--------------------+---------------------+---------------------------
#| Total Alkalinity, pH    | UCSD               | Andrew Dickson      | adickson@ucsd.edu
#| ------------------------+--------------------+---------------------+---------------------------
#| SADCP                   | UH                 | Eric Firing         | efiring@soest.hawaii.edu 
#| ------------------------+--------------------+---------------------+---------------------------
#| LADCP                   | LDEO               | Andreas Thurnherr   | ant@ldeo.columbia.edu    
#| ------------------------+--------------------+---------------------+---------------------------
#| CFCs, SF6, N2O          | UW                 | Mark Warner         | warner@uw.edu
#| ------------------------+--------------------+---------------------+---------------------------
#| DOC, TDN                | UCSB               | Craig Carlson       | carlson@lifesci.ucsb.edu
#| ------------------------+--------------------+---------------------+---------------------------
#| C13 & C14               | WHOI, Princeton    | Ann McNichol,       | amcnichol@whoi.edu
#|                         |                    | Robert Key          | 401 Sayre Hall
#|                         |                    |                     | Princeton University
#|                         |                    |                     | 08544 Princeton , NJ        
#| ------------------------+--------------------+---------------------+---------------------------
#| Transmissometry         | TAMU               | Wilf Gardner        | wgardner@ocean.tamu.edu  
#| ------------------------+--------------------+---------------------+---------------------------
#| Fluorescence and        | U Maine            | Emmanuel Boss       | emmanuel.boss@maine.edu  
#| Backscatter (SOCCOM)    |                    |                     |                          
#| ------------------------+--------------------+---------------------+---------------------------
#| UVP                     | U Alaska Fairbanks | Andrew McDonnell    | amcdonnell@alaska.edu    
#| ------------------------+--------------------+---------------------+---------------------------
#| Nitrate D15N and D18O   | MPIC               | Gerald Haug,        | gerald.haug@mpic.de
#|                         |                    | Francois Fripiat    | f.fripiat@mpic.de        
#| ------------------------+--------------------+---------------------+---------------------------
#| REE                     | Oxford             | Yves Plancherel     | yves.plancherel@earth.ox 
#|                         |                    |                     | .ac.uk                   
#| ------------------------+--------------------+---------------------+---------------------------
#| Noble Gases             | OSU, SIO           | Nicholas Beaird,    | beairdn@oregonstate.edu
#|                         |                    | Fiamma Straneo      | fstraneo@ucsd.edu        
#| ------------------------+--------------------+---------------------+---------------------------
#| Neodymium               | Imperial College   | Tina van de Flierdt | tina.vandeflierdt@imperi 
#|                         | London             |                     | al.ac.uk                 
#| ------------------------+--------------------+---------------------+---------------------------
#| Argo Floats             | FSU, CSIRO         | Kevin Speer,        | kspeer@fsu.edu,
#|                         |                    | Steve Rintoul       | steve.rintoul@csiro.au   
#| ------------------------+--------------------+---------------------+---------------------------
#| SOCCOM Floats           | UW, MBARI, UCSD,   | Steve Riser,        | riser@ocean.washington.edu
#|                         | SIO                | Ken Johnson,        | johnson@mbari.org
#|                         |                    | Lynne Talley        | ltalley@ucsd.edu         
#| ------------------------+--------------------+---------------------+---------------------------
#| Surface Drifters        | NOAA, AOML         | Rick Lumpkin,       | rick.lumpkin@noaa.gov
#|                         |                    | Shaun Dolk          | shaun.dolk@noaa.gov      
#| ------------------------+--------------------+---------------------+---------------------------
#| EM-APEX Floats          | UW APL             | James Girton        | girton@apl.washington.edu
#| ------------------------+--------------------+---------------------+---------------------------
#| Underway Bathymetry,    | ASC                | ASC                 | admin@nbp.usap.gov
#| Meteorological Data     |                    |                     |                          
#| ------------------------+--------------------+---------------------+---------------------------
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDOPTOXY,CTDOPTOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,DOC,DOC_FLAG_W,HELIUM,HELIUM_FLAG_W,REFTMP,REFTMP_FLAG_W,DELC13,DELC13_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,POC,POC_FLAG_W,TDN,TDN_FLAG_W,TON,TON_FLAG_W,NEON,NEON_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDBETA700,CTDBETA700_FLAG_W,N2O,N2O_FLAG_W,ARGON,ARGON_FLAG_W,BTL_DATE,BTL_TIME,BTL_LAT,BTL_LON,KRYPTON,KRYPTON_FLAG_W,XENON,XENON_FLAG_W,HPLC,HPLC_FLAG_W,HE3_HE4_RATIO,HE3_HE4_RATIO_FLAG_W,Nd_143_144_D_EPSILON_BOTTLE,Nd_143_144_D_EPSILON_BOTTLE_FLAG_W,Nd_143_144_D_EPSILON_BOTTLE_ERROR,Nd_143_144_D_RATIO_BOTTLE,Nd_143_144_D_RATIO_BOTTLE_FLAG_W,Nd_143_144_D_RATIO_BOTTLE_ERROR,Nd_D_CONC,Nd_D_CONC_FLAG_W,La_D_CONC_BOTTLE,La_D_CONC_BOTTLE_FLAG_W,Ce_D_CONC_BOTTLE,Ce_D_CONC_BOTTLE_FLAG_W,Pr_D_CONC_BOTTLE,Pr_D_CONC_BOTTLE_FLAG_W,Sm_D_CONC_BOTTLE,Sm_D_CONC_BOTTLE_FLAG_W,Eu_D_CONC_BOTTLE,Eu_D_CONC_BOTTLE_FLAG_W,Gd_D_CONC_BOTTLE,Gd_D_CONC_BOTTLE_FLAG_W,Tb_D_CONC_BOTTLE,Tb_D_CONC_BOTTLE_FLAG_W,Dy_D_CONC_BOTTLE,Dy_D_CONC_BOTTLE_FLAG_W,Ho_D_CONC_BOTTLE,Ho_D_CONC_BOTTLE_FLAG_W,Er_D_CONC_BOTTLE,Er_D_CONC_BOTTLE_FLAG_W,Tm_D_CONC_BOTTLE,Tm_D_CONC_BOTTLE_FLAG_W,Yb_D_CONC_BOTTLE,Yb_D_CONC_BOTTLE_FLAG_W,Lu_D_CONC_BOTTLE,Lu_D_CONC_BOTTLE_FLAG_W
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C,UMOL/KG,,NMOL/L,,DEG C,,/MILLE,,/MILLE,,/MILLE,UG/KG,,UMOL/KG,,UMOL/KG,,NMOL/L,,VOLTS,,VOLTS,,VOLTS,,NMOL/KG,,UMOL/L,,,,,,NMOL/L,,NMOL/L,,,,,,10000,,10000,,,,PMOL/KG,,PMOL/L,,PMOL/L,,PMOL/L,,PMOL/L,,PMOL/L,,PMOL/L,,PMOL/L,,PMOL/L,,PMOL/L,,PMOL/L,,PMOL/L,,PMOL/L,,PMOL/L,
320620180309  ,S04P       ,901     ,  1,36         ,36         ,2,20180314,0025, -59.6166, 159.1548,     4796,      3.4,4.1957027777777780031,33.800670564873329,3,     -999,5,237.32160518186376,2, 303.1959,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,5,     -999,5,     -999,5,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   4.2003,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,    0.057,1,    4.577,1,    0.071,1,     -999,5,     -999,9,20180314,0148, -59.6176, 159.1537,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,901     ,  1,35         ,35         ,2,20180314,0025, -59.6166, 159.1548,     4796,     19.3,4.1212750000000006878,33.799623223602694,3,     -999,5,238.83216297571360,2, 303.2943,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,    4.740,4,    2.599,4,   3.0300,4,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   4.1223,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,    0.056,1,    4.574,1,    0.071,1,  13.3300,4,     -999,9,20180314,0145, -59.6175, 159.1537,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,901     ,  1,34         ,34         ,2,20180314,0025, -59.6166, 159.1548,     4796,     40.3,4.1131250000000001421,33.799664369080780,3,     -999,5,239.43222975291539,2, 303.1886,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,5,     -999,5,     -999,5,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   4.1125,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.055,1,    4.569,1,    0.071,1,     -999,5,     -999,9,20180314,0144, -59.6175, 159.1538,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,901     ,  1,33         ,33         ,2,20180314,0025, -59.6166, 159.1548,     4796,     65.1,4.0955166666666666941,33.799039056967963,3,     -999,5,240.49890846044798,2, 302.5912,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   4.0947,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,    0.057,1,    4.565,1,    0.071,1,     -999,9,     -999,9,20180314,0142, -59.6175, 159.1537,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,901     ,  1,32         ,32         ,2,20180314,0025, -59.6166, 159.1548,     4796,     90.0,1.3823944444444444812,33.929596360403032,3,     -999,5,295.61598485945080,2, 299.1884,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,    5.559,4,    2.906,4,   3.2800,4,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   1.3845,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.056,1,    4.612,1,    0.071,1,  15.9000,4,     -999,9,20180314,0140, -59.6175, 159.1538,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,901     ,  1,31         ,31         ,2,20180314,0025, -59.6166, 159.1548,     4796,    114.9,1.1956361111111111217,34.009066551408310,3,     -999,5,281.95206816107770,2, 280.6891,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   1.1953,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,    0.057,1,    4.632,1,    0.071,1,     -999,9,     -999,9,20180314,0138, -59.6175, 159.1538,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,901     ,  1,30         ,30         ,2,20180314,0025, -59.6166, 159.1548,     4796,    139.9,1.3312805555555555781,34.095162003439796,3,     -999,5,258.56946941562285,2, 257.7957,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   1.3299,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.056,1,    0.033,1,    0.071,1,     -999,9,     -999,9,20180314,0136, -59.6174, 159.1539,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,901     ,  1,29         ,29         ,2,20180314,0025, -59.6166, 159.1548,     4796,    166.8,1.7794999999999998597,34.226537525469119,3,     -999,5,222.59847468708196,2, 227.2938,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,    3.317,4,    1.732,4,   1.7500,4,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   1.7804,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,    0.056,1,    0.028,1,    0.071,1,  22.5000,4,     -999,9,20180314,0134, -59.6174, 159.1538,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,901     ,  1,28         ,28         ,2,20180314,0025, -59.6166, 159.1548,     4796,    191.1,2.1723694444444441309,34.330540382855702,3,     -999,5,199.14486218515222,3, 199.6897,2,    208.0,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   2.1720,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.056,1,    0.032,1,    0.070,1,     -999,9,     -999,9,20180314,0133, -59.6174, 159.1540,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,901     ,  1,27         ,27         ,2,20180314,0025, -59.6166, 159.1548,     4796,    216.1,2.3677888888888882768,34.388758649175614,3,     -999,5,191.53387818416019,3, 190.1906,2,    193.8,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   2.3680,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,    0.057,1,    0.035,1,    0.071,1,     -999,9,     -999,9,20180314,0131, -59.6173, 159.1538,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,901     ,  1,26         ,26         ,2,20180314,0025, -59.6166, 159.1548,     4796,    241.7,2.3622166666666668533,34.411648034192808,3,     -999,5,186.25841019670710,3, 177.2888,2,    199.5,2,     -999,9,     -999,9,     -999,9,     -999,9,    1.718,4,    0.901,4,   0.4900,4,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   2.3623,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.056,1,    0.038,1,    0.071,1,  23.9100,4,     -999,9,20180314,0129, -59.6173, 159.1539,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,901     ,  1,25         ,25         ,2,20180314,0025, -59.6166, 159.1548,     4796,    287.9,2.4135444444444447143,34.467657795399582,3,     -999,5,179.52087577434048,2, 170.4987,2,    180.2,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   2.4136,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,    0.057,1,    0.039,1,    0.072,1,     -999,9,     -999,9,20180314,0127, -59.6173, 159.1539,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,901     ,  1,24         ,24         ,2,20180314,0025, -59.6166, 159.1548,     4796,    335.4,2.3453444444444446759,34.493645904814954,3,     -999,5,177.41614769556332,2, 167.8889,2,    177.3,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   2.3447,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.057,1,    0.039,1,    0.070,1,     -999,9,     -999,9,20180314,0125, -59.6173, 159.1539,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,901     ,  1,23         ,23         ,2,20180314,0025, -59.6166, 159.1548,     4796,    390.6,2.3687916666666661847,34.540040228442578,3,     -999,5,174.87996643091569,2, 164.1920,2,    174.6,2,     -999,9,     -999,9,     -999,9,     -999,9,    0.956,4,    0.481,4,   0.3500,4,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   2.3685,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,    0.056,1,    4.678,1,    0.071,1,  24.0900,4,     -999,9,20180314,0122, -59.6173, 159.1540,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,901     ,  1,22         ,22         ,2,20180314,0025, -59.6166, 159.1548,     4796,    439.7,2.3671000000000002039,34.572649746991004,3,     -999,5,173.62135246324269,3, 163.7918,2,    199.5,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   2.3670,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.056,1,    4.682,1,    0.072,1,     -999,9,     -999,9,20180314,0120, -59.6173, 159.1540,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,901     ,  1,21         ,21         ,2,20180314,0025, -59.6166, 159.1548,     4796,    488.8,2.3995277777777777040,34.612218830678437,3,     -999,5,174.09983896231702,2, 164.5912,2,    174.0,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   2.3989,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,    0.056,1,    4.683,1,    0.070,1,     -999,9,     -999,9,20180314,0118, -59.6173, 159.1540,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,901     ,  1,20         ,20         ,2,20180314,0025, -59.6166, 159.1548,     4796,    540.5,2.3549972222222219642,34.633728586522693,3,     -999,5,175.12723425405534,2, 165.7900,2,    174.6,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,5,     -999,5,     -999,5,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   2.3545,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.056,1,    4.684,1,    0.071,1,     -999,5,     -999,9,20180314,0115, -59.6174, 159.1539,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
